name|type|description|prerequisites|prerequisite_feats|benefit|normal|special|source|teamwork|critical|grit|style|performance|racial|companion_familiar|race_name|note|goal|completion_benefit|multiples|suggested_traits
Bonebreaker|Combat|When your opponent is unable to adequately defend against them, your precise unarmed strikes break bone and tear tissue.|Dex 13, Improved Grapple, Improved Unarmed Strike, Jawbreaker, Stunning Fist, Heal 9 ranks.|Improved Grapple, Improved Unarmed Strike, Jawbreaker, Stunning Fist|When you make a successful Stunning Fist attempt against an opponent that is grappled, helpless, or stunned, you can forgo any other Stunning Fist effect to deal 1d6 Strength or Dexterity damage to that opponent.|||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Boon Companion|General|Your bond with your animal companion or familiar is unusually close.|Animal companion or familiar class feature.||The abilities of your animal companion or familiar are calculated as though your class were 4 levels higher, to a maximum effective druid level equal to your character level. If you have more than one animal companion or familiar, choose one to receive this benefit. If you lose or dismiss an animal companion or familiar that has received this benefit, you may apply this feat to the replacement creature.||You may select this feat more than once. The effects do not stack. Each time you take the feat, it applies to a different animal companion or familiar.|Animal Archive|0|0|0|0|0|0|1|||||0|
Born Alone|General|You are so tough and vicious that you killed and ate the rest of your litter while still in the womb.|Orc.||Whenever you kill or knock unconscious an opponent with a melee attack, you gain temporary hit points equal to your Constitution bonus (minimum 1) until your next turn. These temporary hit points do not stack. You do not gain this bonus if the opponent is helpless or has less than half your Hit Dice.|||Advanced Race Guide|0|0|0|0|0|1|0|Orc||||0|
Bouncing Spell|Metamagic|You can direct a failed spell against a different target.|||Whenever a bouncing spell targeting a single creature has no effect on its intended target (whether due to spell resistance or a successful saving throw) you may, as a swift action, redirect it to target another eligible creature within range. The redirected spell behaves in all ways as if its new target were the original target for the spell. Spells that affect a target in any way (including a lesser effect from a successful saving throw) may not be redirected in this manner. A bouncing spell uses up a spell slot one level higher than the spell's actual level.|||Advanced Player's Guide|0|0|0|0|0|0|0|||||0|
Bounding Hammer|Combat|You can throw a hammer so it rebounds near you.|Proficiency with hammer, base attack bonus +6.||As a standard action, you may throw a hammer at an opponent within 20 feet. If you hit (whether or not the attack damages the target), the hammer rebounds off of the creature and lands in your square. If you have the Snatch Arrows feat, you may choose to catch the hammer when it enters your square (though this does not give you the ability to immediately throw the hammer). This ability may not work against some creatures or in certain circumstances as determined by the GM; for example, your weapon does not bounce off incorporeal creatures (unless it has the ghost touch ability), it may stick to creatures with the adhesive ability, the slowing effect of fighting underwater prevents you from using this feat, and so on.|A thrown weapon drops in the square where it hit its target.||Dwarves Of Golarion|0|0|0|0|0|0|0|||||0|
Branded for Retribution|General|You brand an enemy with your bane weapon, making it more vulnerable to your allies' attacks.|Bane class feature.||As a standard action, expend 3 rounds of your bane class feature and make a melee touch attack with the weapon affected by bane. If you hit, your target takes no damage but is branded until the start of your next turn. While this brand remains, your allies' weapons are considered to have the bane ability with which your weapon is imbued when they attack the branded creature.|||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Breadth of Experience|General|Although still young for your kind, you have a lifetime of knowledge and training.|Dwarf, elf, or gnome; 100+ years old.||You get a +2 bonus on all Knowledge and Profession skill checks, and can make checks with those skills untrained.|||Advanced Player's Guide|0|0|0|0|0|1|0|Elf, Gnome, Dwarf||||0|
Break Guard|Combat|You can use one of your two weapons to occupy your opponent's defenses while attacking with the other.|Dex 15, Int 13, Combat Expertise, Improved Disarm, Two-Weapon Fighting.|Combat Expertise, Improved Disarm, Two-Weapon Fighting|While wielding two weapons, whenever you successfully use one weapon to disarm an opponent, you can spend a swift action to attack the opponent you attempted to disarm using your other weapon.|||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Brew Potion|Item Creation|You can create magic potions.|Caster level 3rd.||You can create a potion of any 3rd-level or lower spell that you know and that targets one or more creatures or objects. Brewing a potion takes 2 hours if its base price is 250 gp or less, otherwise brewing a potion takes 1 day for each 1,000 gp in its base price. When you create a potion, you set the caster level, which must be sufficient to cast the spell in question and no higher than your own level. To brew a potion, you must use up raw materials costing one half this base price. See the magic item creation rules in Chapter 15 for more information. When you create a potion, you make any choices that you would normally make when casting the spell. Whoever drinks the potion is the target of the spell.|||PFRPG Core|0|0|0|0|0|0|0|||||0|
Brewmaster|General|You can concoct potent brews.|Craft (alchemy) 1 rank, Profession (brewer) 1 rank, dwarf.||You gain a +2 bonus on Craft (alchemy) and Profession (brewer) checks, and you add +1 to the DC of any ingested poison you create.|||Advanced Race Guide|0|0|0|0|0|1|0|Dwarf||||0|
Broken Wing Gambit|Combat|You feign weakness, making yourself a tempting and distracting target.|Bluff 5 ranks.||Whenever you make a melee attack and hit your opponent, you can use a free action to grant that opponent a +2 bonus on attack and damage rolls against you until the end of your next turn or until your opponent attacks you, whichever happens first. If that opponent attacks you with this bonus, it provokes attacks of opportunity from your allies who have this feat.|||Ultimate Combat|1|0|0|0|0|0|0|||||0|
Brutal Grappler|Combat|When helping an ally grapple, you can damage the target.|Half-orc or orc.||When you and an ally with this feat have grappled the same creature, you may attempt to damage the opponent on your turn (whether you were the one who first initiated the grapple or were assisting your ally in doing so). You and the ally are treated as aiding each other in the grapple (+2 bonus on your grapple combat maneuver) as long as you both decide to maintain the grapple.|When multiple creatures grapple one target, the creature that first initiates the grapple is the only one that makes a check to damage a grappled opponent, with a +2 bonus for each creature that assists the grapple using the Aid Another action.||Orcs Of Golarion|1|0|0|0|0|1|0|Orc,Half-Orc||||0|
Bull Rush Strike|Combat|Your critical hits can push back your foes.|Str 13, Improved Bull Rush, Power Attack, base attack bonus +9.|Improved Bull Rush, Power Attack|Whenever you score a critical hit with a melee attack, you can push your opponent back, in addition to the normal damage dealt by the attack. If your confirmation roll exceeds your opponent's CMD, you may push your opponent back as if from the bull rush combat maneuver. You do not need to move with the target if successful. This does not provoke an attack of opportunity.|You must perform a bull rush combat maneuver to bull rush an opponent.|You can only apply the effects of one of the following feats to a given critical hit: Bull Rush Strike, Disarming Strike, Repositioning Strike, Sundering Strike, or Tripping Strike. You may choose to use this feat after you make your confirmation roll.|Advanced Player's Guide|0|0|0|0|0|0|0|||||0|
Bullseye Shot|Combat|You slow your breath, calm yourself, and hit the bullseye, just as you were trained to.|Point-Blank Shot, Precise Shot, base attack bonus +5.|Point-Blank Shot, Precise Shot|You can spend a move action to steady your shot. When you do, you gain a +4 bonus on the next ranged attack roll you make before the end of your turn.|||Faiths Of Purity|0|0|0|0|0|0|0|||||0|
Bullying Blow|Combat|With a simple hit, you more easily intimidate an opponent.|Intimidate 1 rank, orc.||As a standard action, you may make a melee attack with a -2 penalty on the attack roll. If the attack damages your opponent, you may make an Intimidate check to demoralize that opponent as a free action.|Intimidating an opponent is a standard action.||Advanced Race Guide|0|0|0|0|0|1|0|Orc||||0|
Burn! Burn! Burn!|General|You take the goblin love of arson and fire play to a whole new level.|Disable Device 1 rank, goblin.||You deal an extra 1d4 points of fire damage when you attack with fire from an alchemical or nonmagical source (such as with alchemical fire or torches) and gain a +4 competence bonus on Ref lex saving throws made to avoid catching on fire or to put yourself out when on fire. Additional damage caused by this feat does not apply to magical attacks (such as an alchemist's bomb) or to splash damage.|||Advanced Race Guide|0|0|0|0|0|1|0|Goblin||||0|
Burning Spell|Metamagic|You cause creatures to take extra damage when you affect them with a spell that has the acid or fire descriptor.|||The acid or fire effects of the affected spell adhere to the creature, causing more damage the next round. When a creature takes acid or fire damage from the affected spell, that creature takes damage equal to 2 x the spell's actual level at the start of its next turn. The damage is acid or fire, as determined by the spell's descriptor. If a burning spell has both the fire and acid descriptor, the caster chooses what kind of damage is dealt by the burning spell effect. A burning spell uses up a slot two levels higher than the spell's actual level.|||Ultimate Magic|0|0|0|0|0|0|0|||||0|
Burrowing Teeth|General|You have teeth and claws that suit you well to digging.|Sharpclaw, Tunnel Rat, ratfolk.|Sharpclaw, Tunnel Rat|You gain a burrow speed equal to 1/2 your base speed. You can burrow through sand, dirt, clay, gravel, or similar materials, but not solid stone. You do not leave a hole behind, nor is your passage marked on the surface.|||Advanced Race Guide|0|0|0|0|0|1|0|Ratfolk||||0|
Butterfly's Sting|General|You can forgo a critical hit in order to pass it on to an ally.|Combat Expertise.|Combat Expertise|When you confirm a critical hit against a creature, you can choose to forgo the effect of the critical hit and grant a critical hit to the next ally who hits the creature with a melee attack before the start of your next turn. Your attack only deals normal damage, and the next ally automatically confirms the hit as a critical.|||Faiths Of Purity|0|1|0|0|0|0|0|||||0|
Calm Disposition|General|You always appear to be in control of your situation.|Prophets of Kalistrade 10 TPA.||You gain +2 bonus on saving throws against effects that affect your composure. This includes all mindaffecting spells, as well as any spell or ability that would cause you to behave in an out-of-control manner, such as fear effects and nausea. This does not include physical effects such as fatigue, and does not reduce any damage taken from concurrent effects.|||Faction Guide|0|0|0|0|0|0|0|||||0|
Careful Speaker|General|The paranoid terror that comes from living in a region with a dangerous government (such as Cheliax or Galt) has made you unusually aware of what you say.|Wis 13.||You gain a +2 bonus on all Bluff checks made to fool someone or pass secret messages (but not to feint in combat), and a +2 bonus on all Will saves against attempts to scry upon you or read your mind.|||Inner Sea World Guide|0|0|0|0|0|0|0|||||0|
Carrion Feeder|General|Like many scavengers, you can stomach foods that would make weaker creatures ill.|Tengu.||You gain a +2 racial bonus on saving throws against diseases and ingested poisons (but not other poisons). You receive a +2 bonus on Survival skill checks to find food for yourself (and only yourself ).|||Advanced Race Guide|0|0|0|0|0|1|0|Tengu||||0|
Cartwheel Dodge|General|You use your knack for avoiding damage to reposition yourself in combat.|Evasion class feature, improved evasion class feature, acrobatics 12 ranks.||When you successfully use improved evasion to avoid taking damage, you can move up to half your speed as an immediate action. This movement provokes attacks of opportunity as normal.|||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Casual Illusionist|General|You can use your innate magic to create minor illusions that augment your efforts at trickery and deceit.|Gnome, gnome magic racial trait.||As long as you have at least one spell-like ability unused from your gnome magic racial trait, you gain a +2 racial bonus on all Bluff, Disguise, and Sleight of Hand checks you make. At 10th level, these bonuses increase to +4.||This feat counts as the Deceitful feat for the purposes of all prerequisites.|Advanced Race Guide|0|0|0|0|0|1|0|Gnome||||0|
Catch Off-Guard|Combat|Foes are surprised by your skilled use of unorthodox and improvised weapons.|||You do not suffer any penalties for using an improvised melee weapon. Unarmed opponents are flat-footed against any attacks you make with an improvised melee weapon.|You take a -4 penalty on attack rolls made with an improvised weapon.||PFRPG Core|0|0|0|0|0|0|0|||||0|
Catch Off-Guard|Mythic|In your hands, anything is a deadly weapon.|Catch Off-Guard.|Catch Off-Guard|The damage dealt when you use improvised weapons increases by your tier. You also gain a bonus to CMD equal to your tier when an opponent attempts to sunder or disarm an improvised weapon you're wielding.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Catfolk Exemplar|General|Your feline traits are more defined and prominent than those of other members of your race.|Catfolk.||You can take the Aspect of the Beast feat (Advanced Player's Guide 151) even if you do not meet the normal prerequisites. Furthermore, your catlike nature manifests in one of the following ways. You choose the manifestation when you take this feat, and cannot change it later. Enhanced Senses (Ex): If you have low-light vision, you gain the scent catfolk racial trait. If you have the scent racial trait, you gain low-light vision. Fast Sprinter (Ex): You gain a 10-foot racial bonus to your speed when using the charge, run, or withdraw actions. If you have the sprinter racial trait, your racial bonus to speed when using the charge, run, or withdraw action increases to a 20-foot bonus. Sharp Claws (Ex): If you do not have the cat's claws racial trait or the claws of the beast manifestation from the Aspect of the Beast feat (Advanced Player's Guide 151), you gain the cat's claws racial trait. If you have either the cat's claws racial trait or the claws of the beast manifestation, your claw damage increases to 1d6.||You can take this feat multiple times. Its effects do not stack. Each time you select it, you must choose a different manifestation.|Advanced Race Guide|0|0|0|0|0|1|0|Catfolk||||1|
Caustic Slur|General|You know exactly how to insult your favored enemies in order to make them lose their heads.|Bluff 1 rank, favored enemy class feature, gnome.||As a standard action, you can make a Bluff check against one sort of favored enemy. Any creature of that type within 60 feet of you must make a Will saving throw or become angered. If an affected creature attacks you, it's treated as if it were using Power Attack (taking a penalty on attack rolls but gaining a bonus on damage rolls). If the creature already has the power attack feat, the attack penalty increases by 1 and the damage bonus increases by 2. These modifiers end when combat ends. This ability does not work on creatures that cannot understand you, though sometimes a simple gesture is sufficient for an intelligent opponent to catch your gist regardless of any language barrier.|||Gnomes Of Golarion|0|0|0|0|0|1|0|Gnome||||0|
Cautious Fighter|Combat|You care more about survival than victory.|Halfling.||When fighting defensively or using total defense, your dodge bonus to AC increases by 2.|||Advanced Race Guide|0|0|0|0|0|1|0|Halfling||||0|
Cavalry Formation|Combat|You are skilled at riding in close formation with your mounted allies without impeding your effectiveness on the battlefield.|Mounted Combat.|Mounted Combat|You and your mount can overlap the space of mounts whose riders have this feat, although no more than two creatures can share any one square. Further, you can charge through a space containing an allied mount if that mount's rider has this feat, although the space from which you make your charge attack must comply with this feat's other benefit or be unoccupied.|||Ultimate Combat|1|0|0|0|0|0|0|||||0|
Celestial Obedience|General|Your reverence for an empyreal lord is so great that daily prayer and minor sacrifices grant you special boons.|Knowledge (planes) 3 ranks, must worship an empyreal lord.||"Each empyreal lord requires a different obedience, but all obediences take only 1 hour to perform. Once you've performed the obedience, you gain the benefit of a special ability or resistance as indicated in the ""Obedience"" entry for the empyreal lord. If you have at least 12 Hit Dice, you also gain the first boon granted by your empyreal lord upon undertaking your obedience. If you have at least 16 Hit Dice, you also gain the empyreal lord's second boon. If you have 20 Hit Dice or more, you also gain the empyreal lord's third boon. Unless a specific duration or number of uses per day is listed, a boon's effects are constant. Mystery cultists (see page 48) gain access to these boons at lower levels as a benefit of their prestige class. If you ever fail to perform a daily obedience, you lose all access to the benefits and boons granted by this feat until you next perform the obedience."|||Chronicle Of The Righteous|0|0|0|0|0|0|0|||||0|
Celestial Servant|General|Rather than being a normal animal or beast, your companion or familiar hails from the heavenly realms.|Aasimar, animal companion, familiar, or mount class feature.||Your animal companion, familiar, or mount gains the celestial template and becomes a magical beast, though you may still treat it as an animal when using Handle Animal, wild empathy, or any other spells or class abilities that specifically affect animals.|||Advanced Race Guide|0|0|0|0|0|1|0|Aasimar||||0|
Center Of Power|General|You have posted loyal followers in the most vital places.|Leadership score 13, hold a leadership role related to running a kingdom.||Choose a building in your kingdom as your center of power, and dedicate one of the followers granted to you by the Leadership feat to overseeing that location. For every kingdom turn in which that follower does nothing but oversee that location, the benefits that building grants to your kingdom's Economy, Fame, Loyalty, and Stability are doubled and any penalties are negated. This feat does not allow a building to grant benefits it does not normally provide, and has no effect on a building's other effects. This feat only applies to one building, and committing multiple followers to this or different buildings has no effect-the selected location is treated as being of particular importance to you, and its uniqueness combined with the follower's loyalty grants it special efficiencies. The same follower does not have to oversee your center of power every month, but you must keep at least one follower dedicated to this location for the entire month to gain this feat's benefits. Once per year, you may change which building is your center of power.|||Quests and Campaigns|0|0|0|0|0|0|0|||||0|
Chainbreaker|Achievement|Nothing rouses your fury and makes you more deadly in battle than the sight of slaves cowering before their masters.|Over the course of at least five different occasions, free a cumulative total of 50+ sentient beings held in unjust captivity.||When in combat with an opponent that you know owns or trades in slaves, once per round you may add a bonus to damage rolls for a melee attack, ranged attack, or targeted spell against that opponent. This bonus damage is +1 for every four Hit Dice you have.|||Andoran Spirit Of Liberty|0|0|0|0|0|0|0|||||0|
Champion|Story|You must prove yourself through single combat.|You must have defeated a single challenging foe without any aid from another, or have the Champion of a God, Champion of the People, Competition Champion, or Gladiator background.||As a swift action, you can declare a single combat challenge to one foe within 50 feet and in line of sight. Upon doing so, you gain a +1 bonus on attack rolls and a +1 dodge bonus to AC against that foe as long as no one else threatens that opponent or until the single combat challenge ends. If another combatant attacks you or your foe, the challenge ends and you take a -2 penalty on attack rolls and to AC for 1 round. Though you can declare a single combat challenge at will, once you declare it on a foe you can't declare it on the same foe for another 24 hours.|||Ultimate Campaign|0|0|0|0|0|0|0|||Defeat an appropriate number of challenging foes in single combat. These combats must not be interrupted by other creatures, and the foes must not have already been substantially injured or impaired prior to combat with you.|Your bonuses for single combat increase to +2. In addition, any confirmed critical hits you make against such a foe deal an additional 1d6 points of damage.|0|
Channel Force|General|Your channel is bolstered by your faith, allowing you to move and damage your foes.|Aasimar, channel energy 2d6.||When you channel energy to deal damage, you may choose to affect only a single target within 30 feet. In addition to dealing damage, if that single target fails its saving throw, you may pull or push (Pathfinder RPG Bestiary 303) the target up to 5 feet for every 2d6 points of channel energy damage you are capable of dealing.|||Advanced Race Guide|0|0|0|0|0|1|0|Aasimar||||0|
Channel Smite|Combat|You can channel your divine energy through a melee weapon you wield.|Channel energy class feature.||Before you make a melee attack roll, you can choose to spend one use of your channel energy ability as a swift action. If you channel positive energy and you hit an undead creature, that creature takes an amount of additional damage equal to the damage dealt by your channel positive energy ability. If you channel negative energy and you hit a living creature, that creature takes an amount of additional damage equal to the damage dealt by your channel negative energy ability. Your target can make a Will save, as normal, to halve this additional damage. If your attack misses, the channel energy ability is still expended with no effect.|||PFRPG Core|0|0|0|0|0|0|0|||||0|
Channel Smite|Mythic|Your weapon a conduit of divine energy.|Channel Smite.|Channel Smite|When using Channel Smite, you gain a bonus on your attack roll equal to the number of d6s granted by your channel energy class feature. This is either a sacred bonus (if channeling positive energy) or a profane bonus (if channeling negative energy). If your attack misses the target, you can expend one use of mythic power as a free action to release the channeled energy, producing the normal effects of your channel energy class feature centered on the creature you were attempting to smite.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Channeled Revival|General|You can expend a large portion of your channeling power to reverse death itself.|Channel energy 6d6 (positive energy).||As a full-round action that provokes attacks of opportunity, you can expend three uses of your channel energy class feature to restore a dead creature to life as if you had cast the breath of life spell (Core Rulebook 251).|||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Channeled Shield Wall|General|You draw on your channel energy to enhance the protective ability of your shield and those of adjacent allies.|Channel energy, 3d6 prof iciency with a shield.||As a swift action, you can spend a use of your channel energy to grant yourself a +2 def lection bonus while using a shield. This bonus lasts 1 minute per cleric level or effective cleric level. While you benefit from this bonus, allies with shields also gain a +2 def lection bonus while they are adjacent to you.|||Ultimate Magic|0|0|0|0|0|0|0|||||0|
Channeling Scourge|General|Your zeal for hunting your faith's enemies empowers your ability to channel divine energy, as long as you channel that energy for harm.|Channel energy class feature, inquisitor level 1st.||When you use channel energy to deal damage, your inquisitor levels count as cleric levels for determining the number of damage dice and the saving throw DC.|||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Charge of the Righteous|Combat|You charge undead and fiends with confidence in your righteous cause.|Base attack bonus +1.||When you charge an undead creature or an evil outsider, you do not take the -2 penalty for charging.|When you charge, you take a -2 penalty to AC until the start of your next turn.||Faiths Of Purity|0|0|0|0|0|0|0|||||0|
Charge Through|Combat|You can overrun enemies when charging.|Str 13, Improved Overrun, Power Attack, base attack bonus +1.|Improved Overrun, Power Attack|When making a charge, you can attempt to overrun one creature in the path of the charge as a free action. If you successfully overrun that creature, you can complete the charge. If the overrun is unsuccessful, the charge ends in the space directly in front of that creature.|You must have a clear path toward the target of your charge.||Advanced Player's Guide|0|0|0|0|0|0|0|||||0|
Charge Through|Mythic|You can plow through those who stand between you and the target of your charge.|Charge ThroughAPG.|Charge Through|When charging, you can ignore allies in your path when determining whether or not you can charge your target. Furthermore, after you have attempted at least one overrun with Charge Through, you can expend one use of mythic power as a free action to attempt another overrun against a different opponent in the path of the same charge.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Charging Hurler|Combat|You know how to use your momentum to enhance your thrown weapon attacks.|Point-Blank Shot.|Point-Blank Shot|You can use the charge rules to make a thrown weapon attack. All the parameters of a charge apply, except that you must only move closer to your opponent, and you must end your movement within 30 feet of that opponent. If you do, you can make a single thrown weapon attack against that opponent, gaining the +2 bonus on the attack roll and taking a -2 penalty to your AC until the start of your next turn.|||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Childlike|General|Your resemblance to a human child tends to make others trust you, perhaps more than they should.|Cha 13, halfling.||You can take 10 on Bluff checks to convince others you are telling the truth, so long as your story makes you appear innocent. You gain a +2 bonus on Disguise skill checks to pose as a human child, and ignore the check penalties for disguising yourself as a different race and age category while doing so.|||Advanced Player's Guide|0|0|0|0|0|1|0|Halfling||||0|
Chokehold|Combat|While grappling, you can cut off an opponent's air and blood supply.|Improved Grapple, Improved Unarmed Strike, base attack bonus +6 or monk level 5th.|Improved Grapple, Improved Unarmed Strike|While you have an opponent up to one size category larger than you grappled, you can attempt a grapple combat maneuver with a -5 penalty on the check. If you succeed, you have pinned your opponent and hold the opponent in a chokehold. When you maintain the grapple, you also maintain the chokehold. A creature in a chokehold cannot breathe or speak, and thus cannot cast spells that have a verbal component. An opponent you have in a chokehold has to hold his breath or begin suffocating. Any creature that does not breathe, is immune to bleed damage, or is immune to critical hits is immune to the effects of your chokehold. When the grapple is ended, so is the chokehold.|||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Circling Offense|Combat|You are skilled at approaching large foes with an ally in a way that makes it difficult for your foes to find an advantage against you or your ally.|Dodge, Mobility, base attack bonus +3.|Dodge, Mobility|You receive a +1 dodge bonus to your Armor Class against attacks of opportunity provoked by moving through a creature's reach, provided the creature is of a larger size category than you and provided at least one other ally with Circling Offense is within the creature's reach. If a creature that you're receiving this dodge bonus against attacks you and misses with the attack, it provokes attacks of opportunity from any of your allies who possess Circling Offense.|||Rival Guide|1|0|0|0|0|0|0|||||0|
Claw Pounce|Combat|You can charge and make an attack with your paws.|Str 13, Dex 15, Nimble Striker, base attack bonus +10, catfolk, cat's claws racial trait or Aspect of the Beast (claws of the beast manifestation).|Nimble Striker|When you make a charge, you can make a full attack with your claws.|Charging is a special full-round action that limits you to a single attack.||Advanced Race Guide|0|0|0|0|0|1|0|Catfolk||||0|
Cleave|Combat|You can strike two adjacent foes with a single swing.|Str 13, Power Attack, base attack bonus +1.|Power Attack|As a standard action, you can make a single attack at your full base attack bonus against a foe within reach. If you hit, you deal damage normally and can make an additional attack (using your full base attack bonus) against a foe that is adjacent to the first and also within reach. You can only make one additional attack per round with this feat. When you use this feat, you take a -2 penalty to your Armor Class until your next turn.|||PFRPG Core|0|0|0|0|0|0|0|||||0|
Cleave|Mythic|You can cleave any foe within your reach.|Cleave.|Cleave|Whenever you use Cleave or Great Cleave, one of your attacks can be made against a foe that is within your reach, but not adjacent to the foe you attacked. You can expend one use of mythic power when you use Cleave or Great Cleave to continue making attacks against foes within your reach, regardless of their position, as long as you continue to hit each foe. You can't use this ability to attack a foe more than once per round.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Cleave Through|Combat|You are ferocious at hewing smaller opponents.|Str 13, Cleave, Power Attack, base attack bonus +11, dwarf.|Cleave, Power Attack|When using Cleave or Great Cleave, if your initial attack hits, you may take a single 5-foot step as a free action before making your additional attacks. If doing so places a creature within your threatened area, that creature becomes a legal target for your additional Cleave attack(s) as long as it meets all the other prerequisites.|You may only make additional attacks with Cleave against creatures you threaten when you make your initial attack.||Advanced Race Guide|0|0|0|0|0|1|0|Dwarf||||0|
Cleaving Finish|Combat|When you strike down an opponent, you can continue your swing into another target.|Str 13, Cleave, Power Attack.|Cleave, Power Attack|If you make a melee attack, and your target drops to 0 or fewer hit points as a result of your attack, you can make another melee attack using your highest base attack bonus against another opponent within reach. You can make only one extra attack per round with this feat.|||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Close Call|General|Your nimble fingers are able to catch small slips before they become big disasters.|Deft Hands.|Deft Hands|Once per day, you may reroll either a Disable Device or Sleight of Hand check. You must decide to use this ability after the first attempt but before the results are revealed by the GM. You must take the second roll, even if it's worse.|||Dungeoneer's Handbook|0|0|0|0|0|0|0|||||0|
Close-Quarters Thrower|Combat|You are agile enough to avoid melee attacks while throwing weapons or bombs.|Dex 13, Dodge, Weapon Focus with selected thrown weapon.|Dodge, Weapon Focus|Choose a type of thrown weapon. You do not provoke attacks of opportunity for making ranged attacks using the selected weapon. If you are an alchemist, and you select this feat and choose alchemist bombs, you do not provoke attacks of opportunity for the process of drawing components of, creating, and throwing a bomb.|Making a ranged attack provokes attacks of opportunity.||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Cloud Gazer|General|Your insight into your elemental heritage gives you a clarity of sight few humans possess.|Sylph.||You can see through fog, mist, and clouds, without penalty, ignoring any cover or concealment bonuses from such effects. If the effect is created by magic, this feat instead triples the distance you can see without penalty.|||Advanced Race Guide|0|0|0|0|0|1|0|Sylph||||0|
Cloud Step|General|Your tread is of unearthly lightness.|Spider Step, monk level 12th.|Spider Step|As a move action, you can air walk (as the spell) up to half your slow fall distance, maximum 50 feet. You must reach a solid, level surface by the end of your turn or you will fall.|||Advanced Player's Guide|0|0|0|0|0|0|0|||||0|
Cloven Helm|Combat|Your helm turns aside lethal blows.|Dented Helm, Hard-Headed, base attack bonus +11, dwarf.|Dented Helm, Hard-Headed|When wearing a helmet, you add +1 to your AC against critical hit confirmation rolls; this benefit stacks with Dented Helm. When you use Dented Helm to def lect a critical hit, you may apply all damage from the critical hit to your helmet before applying any damage to yourself. If you take no damage, any additional effects, such as critical feats or poison, are negated.|||Advanced Race Guide|0|0|0|0|0|1|0|Dwarf||||0|
Clustered Shots|Combat|You take a moment to carefully aim your shots, causing them all to strike nearly the same spot.|Point-Blank Shot, Precise Shot, base attack bonus +6.|Point-Blank Shot, Precise Shot|When you use a full-attack action to make multiple ranged weapon attacks against the same opponent, total the damage from all hits before applying that opponent's damage reduction.||If the massive damage optional rule is being used (Core Rulebook 189), that rule applies if the total damage you deal with this feat is equal to or exceeds half the opponent's full normal hit points (minimum 50 points of damage).|Ultimate Combat|0|0|0|0|0|0|0|||||0|
Coaxing Spell|Metamagic|Your charms and enchantments reach the minds of even the lowliest dungeon denizens.|Spell Focus (enchantment), Knowledge (dungeoneering) 6 ranks.|Spell Focus (enchantment)|This feat only works with mind-affecting effects. A coaxing spell affects mindless oozes and vermin as if they weren't mindless, but has no effect on other creature types. A coaxing spell uses a spell slot 2 levels higher than the spell's actual level.|||Dungeoneer's Handbook|0|0|0|0|0|0|0|||||0|
Cockatrice Strike|Combat|With a single strike, you transmute flesh to stone.|Improved Unarmed Strike, Gorgon's Fist, Medusa's Wrath, base attack bonus +14.|Improved Unarmed Strike, Gorgon's Fist, Medusa's Wrath|As a full-round action, you can make a single unarmed strike against a dazed, flat-footed, paralyzed, staggered, stunned, or unconscious foe. If that attack is a critical hit, the target is petrified unless it succeeds on a Fortitude saving throw with a DC of 10 + 1/2 your character level + your Wisdom modifier. This is a supernatural polymorph effect.|||Advanced Player's Guide|0|0|0|0|0|0|0|||||0|
Cold Celerity|General|You are a child of the frozen north, and you draw your strength from the biting cold and unforgiving conditions.|Endurance.||When you are in conditions of severe cold (below 0&#176; F), you gain a +2 bonus on initiative checks and a +1 bonus on attack rolls. In addition, you gain the same bonuses for 1 round after any round in which you take cold damage.|||People Of The North|0|0|0|0|0|0|0|||||0|
Collective Recollection|General|You and your allies can quickly jog each other's memories to remember essential facts.|||When an ally who also has this feat attempts a trained Knowledge skill check while within 30 feet of you, you may attempt an aid another check as a free action to improve that ally's skill check. You must have at least 1 rank in the Knowledge skill to be aided in order to use this feat. If you succeed at the aid another check, you automatically know any information your ally gains from the Knowledge check as if you had rolled the Knowledge check. Whether or not your aid another check is successful, you cannot attempt a Knowledge check to determine the same information as your ally after using this feat.|||Pathfinder Society Primer|1|0|0|0|0|0|0|||||0|
Combat Casting|General|You are adept at spellcasting when threatened or distracted.|||You get a +4 bonus on concentration checks made to cast a spell or use a spell-like ability when casting on the defensive or while grappled.|||PFRPG Core|0|0|0|0|0|0|0|||||0|
