name|type|category|requirement_race|requirement_subrace|requirement_class|requirement_alignment|requirement_other|requirement_faith|requirement_place|description|description_list|source
Dealer|Regional|||||||||You gain a +1 trait bonus on Sleight of Hand checks, and Sleight of Hand is always a class skill for you.||
Dealmaker|Equipment|||||||||Once per week, when looking for an item with a price greater than the local community’s base value, make a DC 10 Diplomacy check; add 10 to the DC for each community size category between the current community and the community size with a base value sufficient for that item. Success means (with GM approval) you’re able to sell or purchase that item as if the local community were of sufficient size. Each additional attempt (successful or otherwise) in that community increases the DC by an additional +10.||
Death’s Deputy|Race||Tiefling|||||||You gain a +2 trait bonus on the damage dealt for any attack that would already reduce your target to negative hit points without this trait.||
Deathkeeper|Race||Human|||||||You gain a +1 trait bonus on saving throws against the supernatural abilities of undead creatures.||
Deathspeaker|Religion|||||||Gluttony, Disease, Undeath||You gain a +2 trait bonus on Diplomacy checks when dealing with undead, as well as a +2 trait bonus on Charisma checks made to influence undead (such as via the command undead spell).||
Deathtouched|Race|Bloodline|Any|||||||You gain either a +1 trait bonus on Fortitude saving throws or a +2 trait bonus on saving throws against mind-affecting effects (your choice).||
Deck Fighter|Religion|||||||Piracy, strife, sea monsters||You gain a +1 trait bonus on attacks of opportunity when fighting aboard a ship.||
Dedicated Defender|Basic|Combat||||||||You gain a +1 trait bonus on attack rolls and on checks made to overcome spell resistance while you are adjacent to a dying or disabled ally, animal companion, eidolon, familiar, or mount.||
Deep Guardian|Basic|Magic|Dwarf|||||||Any creature you conjure with a summon spell that has the earth subtype or a burrow speed gains a +1 morale bonus on attack rolls and a +1 enhancement bonus to Armor Class for the duration of the spell that summoned it.||
Deep Marker|Race||Dwarf|||||||You gain a +1 trait bonus on Survival checks, and a +1 trait bonus on saving throws against fear effects.||
Deepsea Native|Regional|||||||||You gain a +2 trait bonus on Knowledge checks to identify aquatic monsters. Anytime you are looking through water and would take a penalty on vision-based Perception checks due to murkiness or other natural circumstances, reduce the penalty by 2.||Pathfinder Player Companion: Blood of the Elements
Defender of the Society|Basic|Combat|||Fighter||Society|||You gain a +1 trait bonus to Armor Class when wearing medium or heavy armor.||
Defensive Strategist|Religion|||||||Forge, protection, strategy||You are not flat-footed when you are an unaware combatant. This includes a surprise round that you don’t get to act in, and before you get to act at the start of a battle.||
Deformed|Religion|||||||Madness, monsters, nightmares||Your deformities grant you a +1 trait bonus on Intimidate checks, and Intimidate becomes a class skill for you.||
Deft Dodger|Basic|Combat||||||||You gain a +1 trait bonus on Reflex saving throws.||
Defy Madness|Basic|Faith|||||Old Cults||Old Cults|You gain a +1 trait bonus on any saving throws against confusion, insanity, madness, and Wisdom damage and drain.||
Demon Eradicator|Regional|||||||||Anytime an outsider with the demon subtype must make a Will save against one of your spells, increase the DC of that save by +1.||
Demon Slayer|Basic|Combat|||||Member of Crusaders|||You can attempt a Knowledge (planes) check to find a demon’s weak spot. (DC 10 + the demon’s CR). If you succeed, you gain a +3 trait bonus on rolls to confirm critical hits against that demon until the end of the battle. This effect only works on demons.||
Demon Smiter|Basic|Combat||||||||Once per day when fighting demons, you gain a +4 trait bonus on a single attack roll.||
Demonic Persuasion|Religion|||||||Demon Lords||You gain a +2 trait bonus on Diplomacy and Intimidate checks when dealing with creatures of the demon subtype.||
Dervish|Faction|||||||||You gain a +1 dodge bonus to Armor Class against attacks of opportunity caused when you move out of or within a threatened area. Dodge bonuses stack with each other, unlike most types of bonuses.||
Desert Child|Regional||||||||Desert|You gain a +4 trait bonus on saving throws made to resist the effects of hot conditions, and a +1 trait bonus on all saving throws against fire effects.||
Desert Nomad|Regional|||||||||You gain a +4 trait bonus on any saving throws made to resist the effects of being in hot conditions, and a +1 trait bonus on all saving throws against fire effects.||
Desert Shadow|Faction|||||||||When using the Stealth skill to move at full speed you no longer suffer a -5 penalty on your Stealth skill check.||
Desperate Resolve|Basic|Magic||||||||You gain a +1 trait bonus on concentration checks. This trait bonus increases to + 4 when you are grappled, pinned, in violent weather, or entangled.||
Desperate Speed|Basic|Magic||||||||Your eidolon receives a +5-foot enhancement bonus to one type of speed it has that you do not, such as a climb or swim speed. If your eidolon doesn't already possess such a mode of movement, you may apply this trait bonus later if it gains an evolution that grants it such a mode. Once this bonus is applied to a mode of movement, it can't be switched to another mode.||
Destined Diplomat|Basic|Social||||||||You gain a +2 trait bonus on Diplomacy checks toward outsiders, and Diplomacy is always a class skill for you.||
Destined For Greatness|Regional||||||||Large City|You start with a kit worth no more than 300 gp, and the expendable contents of the kit are automatically restored to their original capacity at no cost to you whenever you enter a settlement with a population of at least 2,500.||
Destructive Blows|Religion|||||||Wrath, disaster, destruction||You gain a +2 trait bonus on Strength checks made to break things, as well as on combat maneuver checks to sunder.||
Detect Disobedience|Basic|Social||||||||You gain a +2 trait bonus on Sense Motive checks to detect when an underling is trying to hide something from you, and can attempt such checks instead of Perception checks to notice and react to a subordinate's surprise attack against you.||Pathfinder Player Companion: Champions of Corruption
Devil's Mark|Faction|||||||||You gain a +2 trait bonus on all Bluff, Diplomacy, Intimidate, and Sense Motive checks when dealing with outsiders of the evil subtype.||
Devoted Healer|Basic|Faith||||||||Whenever you take 20 on a Heal check to treat deadly wounds, you restore an additional 1d4 hit points to those you aid.||
Devotee of a Dead God|Religion|||||||Human culture, innovation, history||You gain a +1 trait bonus on Diplomacy checks and Knowledge (religion) checks. One of these skills (your choice) is always a class skill for you.||
Devotee of Kalistrade|Regional|||||||||You gain a +1 trait bonus on Appraise checks, and a +1 trait bonus on Bluff checks when trying to make a deal with nonbelievers.||
Devotee of the Green|Basic|Faith||||||||You gain a +1 trait bonus on Knowledge (geography) and Knowledge (nature) checks, and one of these skills (your choice) is always a class skill for you.||
Devotee of the Old Gods|Campaign|Mummy's Mask||||||||You gain a +1 trait bonus on Knowledge (history) and Knowledge (religion) checks, and one of those skills is always a class skill for you. In addition, your faith in the old gods grants you a +1 trait bonus on saving throws against divine magic.||
Diabolical Dabbler|Basic|Magic||||||||Fiendish animals you conjure with summon spells gain +1 hp per hit die for the duration of the spell that summoned it.||
Diabolist Raised|Campaign|Council of Thieves||||||||You gain a +1 bonus on Bluff, Diplomacy, Intimidate, and Sense Motive checks made against local nobility, and a +1 bonus on all saving throws made against mind-affecting attacks from devils.||
Dilettante Artist|Race||Elf|||||||You gain a +1 trait bonus to one category of Perform checks and a +1 trait bonus to Diplomacy checks. One of these skills (your choice) is always a class skill for you.||
Dim Seer|Regional|||||||||You gain a +2 trait bonus on Perception checks in dim light, and Perception is always a class skill for you.||
Dirty Fighter|Basic|Combat||||||||You gain a +1 trait bonus to damage rolls against opponents you are flanking.||
Discerning Beliefs|Regional|||||||||You gain a +2 trait bonus on saving throws to disbelieve illusions.||
Disdainful Defender|Basic|Faith||||||||You gain a +2 trait bonus on all Will saves you attempt against divine spells. This bonus does not apply against divine spells cast by a caster who worships the same deity you do.||
Disease Resistant|Regional|||||||||You gain a +1 trait bonus on saving throws against curses and diseases, including magical diseases.||
Disillusioned|Basic|Combat||||||||You gain a +2 trait bonus on Will saving throws against emotion and fear effects.||
Dismantle Order|Basic|Social||||||||Once per day, you can use detect law as a spell-like ability (caster level 1st). If you have levels in a class that can cast detect law, your caster level for this spell-like ability is equal to that class level.||
Dispelled Battler|Basic|Combat||||||||You gain a +1 trait bonus on weapon attack and damage rolls while within an area of antimagic such as that created by an antimagic field. You also gain this bonus for 1 round after you are subject to an area or targeted dispel magic spell, regardless of the effect's success or failure in dispelling your spells and magical effects.||
Distance Aptitude|Basic|Magic||||||||Treat your caster level as 1 higher for the purposes of determining the range of spells and spell-like abilities.||
Divine Deceiver|Regional|||||||||Once per day as a full-round action, you can sacrifice a prepared arcane spell or spell slot to manifest healing magic. This acts as cure light wounds, except you heal 1d6 points of damage per level of the spell or spell slot sacrificed (maximum 5d6) and the hit points healed are temporary (lasting 1 hour).||Pathfinder Player Companion: Champions of Corruption
Divine Warrior|Religion|||||||Valor, rulership, justice, honor||Whenever you cast a divine spell that affects any melee weapons, choose one of those weapons; it gains a +1 trait bonus on damage rolls for the duration of the spell.||
Dockside Brawler|Campaign|Skull & Shackles||||||||You begin with brass knuckles in addition to your starting wealth. You gain a +1 trait bonus on damage rolls with brass knuckles and improvised weapons.||
Dog-Sniff-Hate|Race||Goblin|||||||You gain the scent special quality but only against canine creatures, like dogs or wolves, including monstrous hounds such as hell hounds, yeth hounds, and even werewolves. You gain a +2 trait bonus on attack rolls against dogs you can smell.||
Dominator|Regional|||||||||You receive a +2 trait bonus on all attempts to demoralize an opponent in combat using the Intimidate skill.||
Domineering|Basic|Magic||||||||Choose one 1st-level enchantment spell you are capable of casting. The DC of that spell increases by 1.||
Doublespeak|Basic|Social||||||||You gain a +2 trait bonus on Bluff checks to pass along secret messages.||
Dowsing|Race||Suli|||||||You gain a +1 trait bonus on Survival checks. Whenever you succeed at a Survival check to follow tracks in desert terrain, you can always tell how long ago the tracks were made (though supernatural abilities and spells still impede this ability as appropriate).||
Draconic Echo|Race||Kobold|Blue-Scaled||||||You are able to cast ghost sound twice per day as a spell-like ability. The caster level for this effect is equal to your character level. This spell-like ability's save DC is Intelligence-based.||
Draconic Vigil|Regional|||||||||You gain a +1 bonus on initiative rolls when entering combat against creatures of the dragon type or humanoids of the orc subtype.||
Dragonslayer|Religion|||||||Destruction, dragons, evil, treachery||You gain a +1 trait bonus on attack rolls made against creatures of the dragon type.||
Drug Addict|Campaign|Curse of the Crimson Throne||||||||Choose "friend" or "self". If you choose "friend", you gain a +2 bonus on Knowledge (local) checks or Diplomacy checks to gather information (choose one when selecting this trait). If you choose "self" you were the addict. You gain a +1 bonus on Fortitude saving throws.||
Dtang Ma Bloodline|Regional|||||||||Choose one of the following sorcerer bloodlines: fey, maestro, starsoul, or stormborn. Once per day, you may use one of your bloodline powers as if your sorcerer level were 1 higher than normal. This trait does not give you access to bloodline powers whose level requirements you do not yet meet.||
Dualborn (Suli)|Race||Suli|||||||You gain racial energy resistance only to the energy types you choose, and not to others. When using your elemental assault ability, you can only sheath your arms in the energy types selected, but you can choose to sheath your primary hand with one of the selected energy types and your off-hand with the other. Attacks made with each hand (or a weapon held in each hand) deal bonus energy damage of the selected type. While wielding a two-handed weapon, half of the bonus energy damage is one energy type and half is the other.||Pathfinder Player Companion: Blood of the Elements
Dueling Cloak Adept|Basic|Combat||||||||While wearing a cloak and using a dueling sword, you gain a +2 trait bonus on Bluff checks made to feint. Additionally, every time you successfully feint while wearing a cloak, you gain a +1 dodge bonus to your Armor Class until your next turn.||
Dunewalker|Faction|||||||||You gain a +4 trait bonus on Fortitude checks to resist nonlethal damage from hot conditions and can always move through non-magical sand as if it were normal terrain.||
Dungeon Dweller|Regional||||||||Dungeon|You start with one additional language chosen from the following list: Aklo, Dark Folk, Draconic, Goblin, Necril, Orc, or Undercommon. In addition, whenever you must attempt a Survival check to avoid getting lost in a dungeon, you may roll the check twice and take the better result.||
Durable Change|Race||Werebear-kin|||||||When you use your change shape ability, you can choose to gain the benefits of the Endurance feat rather than gaining a special ability.||
Dusk Dancer|Regional|||||||||You gain a +2 trait bonus on Reflex saving throws in dim light or darkness.||
Duskwalker Agent|Regional|||||||||You start with twice the normal amount of starting gold. In addition, any transactions you make in a specific market are always beneficial to you; items you sell there net you an additional 10% profit, and items you purchase there are 10% cheaper than normal. This discount also applies to your starting gear.||
Ear for Music|Religion|||||||Beauty, art, love, music||You gain a +1 trait bonus on one category of Perform checks and a +2 trait bonus on Knowledge (local) checks that deal with the local art or music scene.||
Earning Your Freedom|Campaign|Legacy of Fire||||||||Choose Fortitude, Reflex, or Will; you gain a +1 trait bonus on all saving throws of that type.||
Earth-Touched|Basic|Magic||||||||You gain DR 1/— against attacks from creatures with the earth subtype.||
Earthbound|Basic|Magic|Dwarf|||||||Your druid spells use a handful of earth or sand as a divine focus in addition to the normal components. While you are touching the ground, you add a +2 trait bonus to saving throw DCs and on caster level checks to overcome spell resistance for all spells you cast against creatures with the air subtype.||
Earthsense (Oread)|Race||Oread|||||||As a swift action, you can gain tremorsense to a range of 60 feet until the beginning of your next turn. You can use this ability once per day at 1st level, plus one additional time per day at 5th level and every 5 levels thereafter, to a maximum of five times per day at 20th level.||Pathfinder Player Companion: Blood of the Elements
Ease of Faith|Basic|Faith||||||||You gain a +1 bonus on Diplomacy checks, and Diplomacy is always a class skill for you.||
Eastern Mysteries|Faction|||||||||Once per day you may select one single spell that you are casting that allows for a saving throw. You may increase the DC of that spell by +2.||
Easy Way or the Hard Way|Basic|Combat||||||||Whenever you attack one of your favored enemies with a weapon that deals lethal damage and choose to deal nonlethal damage, you take only a –2 penalty on the attack roll instead of the normal –4 .||
Egorian School Apprentice|Regional|||||||||You gain a +3 trait bonus on Knowledge (engineering) checks and a +2 trait bonus on Perception checks to find secret doors or traps in buildings built in a specific style.||
Elaborate Trapper|Race||Kobold|Blue-Scaled||||||When creating a trap, if your Craft (trap) roll exceeds the DC of the check by 5 or more, that trap's Disable Device DC increases by 2.||
Eldritch Delver|Basic|Magic||||||||You gain a +1 trait bonus on all Knowledge (dungeoneering) and Knowledge (history) checks, and you may treat your caster level as 1 level higher for all conjuration spells of the teleportation subschool.||
Eldritch Smith|Basic|Magic|Dwarf|||||||Whenever you use the Craft skill or a crafting feat to make stone or metal items, or items which include stone or metal in their design, you reduce the cost of making the item by 5%.||
Elemental Endowment|Basic|Regional||||||||As an immediate action, once per day when you cast a spell with the air, earth, fire, or water descriptor, you can gain a number of temporary hit points equal to the spell's level. This effect lasts for 1 minute.||Champions of Balance
Elemental Pupil|Regional|||||||||Choose one of the following energy types: acid, cold, electricity, or fire. When casting a spell of 1st level or higher that deals damage of your chosen energy type, the spell deals 1 extra point of damage of this type.||
Elven Pantheist|Religion|||||||Any elven deity||You gain a +1 trait bonus on all Knowledge (religion) skill checks, and Knowledge (religion) is always a class skill for you.||
Elven Reflexes|Race||Half-Elf|||||||You gain a +2 trait bonus on Initiative checks.||
Elven Serenity|Race||Half-Elf||||Raised by elves|||You gain a +2 trait bonus on Diplomacy and Handle Animal checks to calm other creatures. You need not speak the same language to attempt a Diplomacy check in this manner.||
Emissary|Regional|||||||||You gain a +2 trait bonus on Diplomacy checks when dealing with aberrations, monstrous humanoids, undead, and creatures with the giant subtype.||
Empty Heart, Full Heart|Religion|||||||Suicide, romantic tragedy, drowning||You gain a +1 trait bonus on all saving throws against charm effects, and any targets of your own charm spells suffer a –1 on their saves.||
Empyreal Focus|Religion|||||||Empyreal Lords||Once per day, you gain a +2 trait bonus to any one skill check.||
Enduring Mutagen|Basic|Magic||||||||The bonuses and penalties granted by your mutagens last for 1 additional minute per alchemist level.||
Enemy of Slavers|Basic|Social||||||||You gain a +2 trait bonus on Diplomacy and Intimidate checks made to sway the minds of slavers and anyone who otherwise keeps innocent people against their will.||
Enemy of the Undead|Regional|||||||||You gain a +2 trait bonus on saving throws against any spells or spell-like abilities from an undead creature.||
Enlightened Warrior|Race||Aasimar|||||||You may take levels in monk even while maintaining a neutral or neutral good alignment.||
Eoxian Experiment|Regional|||||||||You gain a +1 trait bonus on saving throws against pain effects and the spell-like abilities of undead.||Pathfinder Player Companion: People of the Stars
Equality for All|Regional|||||||||You gain a +2 trait bonus to your CMB and your CMD when facing opponents who are at least two sizes larger than you.||
Erastil's Speaker|Religion|||||||Farming, hunting, trade, family||You gain a +1 trait bonus on Diplomacy checks, and Diplomacy is always a class skill for you.||
Ethical Leader|Race||Aasimar|||||||You gain a +1 trait bonus to your Leadership score if all your cohorts and followers have an alignment within one step of your alignment.||
Etymologist|Basic|Social|Gnome|||||||You gain a +1 trait bonus on Linguistics checks, know one additional bonus language, and treat Linguistics as a class skill.||
Evasive Sting|Basic|Combat||||||||You gain a +1 dodge bonus to AC against enemies that are both your favored enemy and at least two size categories larger than you.||
Ever Home|Race|||||||||You gain a +1 trait bonus on Knowledge (geography) and Sleight of Hand checks.||
Ever Wary|Race||Tiefling|||||||During the surprise round and before your first action in combat, you can apply half your Dexterity bonus (if any) to your AC. You still count as flat-footed for the purposes of attacks and effects.||
Evident Supporter|Regional|||||||||The Sense Motive DC needed for a city guard, a politician, or other governmental functionary in a large town or larger settlement to gain a hunch about your trustworthiness is 25 (instead of 20). On a failed check, you're seen as trustworthy regardless of the situation.||Champions of Balance
Exalted of the Society|Basic|Faith|||Cleric||Society|||You may channel energy 1 additional time per day.||
Exchange Agent|Campaign|Shattered Star||||||||You gain one language as a bonus language. Additionally, choose one of the following skills: Handle Animal, Knowledge (geography), Linguistics, or Survival. You gain a +1 trait bonus on checks made with this skill and it is always a class skill for you.||
Excitable|Basic|Combat|Gnome|||||||You gain a +2 trait bonus on all Initiative checks.||
Exiled Scholar|Regional|||||||||You gain a +1 trait bonus on Knowledge (arcana) and (religion) checks. In addition, choose one Knowledge skill; you can attempt untrained checks with this skill as long as the DC is lower than 15.||Pathfinder Player Companion: Undead Slayer's Handbook
Expert Boarder|Religion|||||||Piracy, strife, sea monsters||While fighting on the deck of a ship, you gain a +1 bonus on all attacks made with one-handed weapons.||
Expert Distractor (Ifrit)|Race||Ifrit|||||||Whenever you damage an opponent that is casting a spell with a melee attack that deals fire damage (such as a flaming weapon or a torch), the DC of the concentration check for your opponent to cast the spell is equal to 10 + the non-fire damage dealt + double the fire damage dealt + the spell's level (instead of just 10 + the damage dealt + the spell's level).||Pathfinder Player Companion: Blood of the Elements
Expert Duelist|Faction|||||||||You gain a +1 trait bonus to your Armor Class so long as you are adjacent to a single foe. This trait bonus is not applied to your Armor Class for touch attacks or when denied your Dex bonus.||
Expert Smuggler|Regional|||||||||Other creatures never gain the +4 bonus on their Perception checks (opposed by your Sleight of Hand check) while frisking you.||
Explorer|Basic|Social||||||||When you gain a level, select a terrain type from the following list: cold, desert, forest, jungle, mountains (including hills), plains, planes (other than the Material Plane), swamp, underground (including caves and dungeons), urban, water. You gain a +2 bonus on all Survival checks made in your desired terrain type. At the beginning of each level, you must select a new desired terrain type to replace the old one (you cannot take the same desired terrain type two levels in a row).||
Extremely Fashionable|Equipment|||||||||Whenever you are wearing clean and presentable clothing and/or jewelry worth at least 150 gp, you gain a +1 trait bonus on Bluff, Diplomacy, and Intimidate checks. One of these skills (your choice) is always a class skill for you.||
Eye for Plunder|Campaign|Skull & Shackles||||||||You gain a +1 trait bonus on Appraise and Perception checks to find concealed or secret objects (including doors and traps). In addition, you begin the campaign with a selection mundane trade goods worth 50 gp that you were able to scrounge together during your first day on the ship.||
Eye of the Falcon|Regional|||||||||You gain a +1 trait bonus on saving throws against illusion (phantasm) spells and a +1 trait bonus on Sense Motive checks to know when you are being lied to, so long as you are face to face with the speaker in question.||
Eye of the Father|Religion|||||||Forge, protection, strategy||You gain +1 trait bonus to a Craft skill of your choice, and Perform is always a class skill for you.||
Eyes and Ears of the City|Religion|||||||Cities, wealth, merchants, law||You gain a +1 trait bonus on Perception checks, and Perception is always a class skill for you.||
Eyes of the Sun|Race||Human|||||||You gain a +1 trait bonus on saving throws against effects that would cause you to become dazzled or blinded, and once per day when you would be dazzled or blinded by an effect, you can reduce the duration of that effect by half (minimum 1 round). You cannot use this ability if you are already dazzled or blinded or if you have the light sensitivity or light blindness special quality.||
Eyes of the Wild|Religion|||||||Druids, nature||You gain a +2 trait bonus on Perception checks in natural settings.||
Failed Apprentice|Race||Half-Elf|||||||You gain a +1 trait bonus to saving throws against arcane spells.||
Faith Healer|Race||Aasimar|||||||You can make a Heal check weekly to earn money as though making a Profession check. In addition, you gain a +1 trait bonus on Heal checks.||
Faith's Hunter|Basic|Combat||||||||When you confirm a critical hit against a favored enemy, you may extend the duration of any divine spell affecting you by 1 round. The benefits from multiple critical hits stack. Divine spells with an instantaneous duration can't be extended in this manner.||
Faithful Arodenite|Religion|||||||Human culture, innovation, history||You gain a +1 trait bonus on Diplomacy checks; this bonus increases to +3 if you are dealing with a follower of a dead god.||
Faithful Artist|Religion|||||||Dreams, stars, travelers, luck||You gain a +1 trait bonus to one Perform skill, and Perform is always a class skill for you.||
Faithful Feedback|Basic|Faith||||||||Whenever you cast a spell belonging to the healing subschool on someone of your religion, increase the hit points healed by +1.||
Famed Performer|Regional|||||||||Once per day when you start a bardic performance, you can increase the DC of the saving throw to resist your performance's effects by 1. This effect lasts until you switch performances or end your performance.||
Family Connections|Race||Tiefling|||||||You gain a +2 trait bonus on Bluff and Diplomacy checks made against outsiders belonging to the evil subtype.||
Fanatic|Race|||||||||You gain +1 to Knowledge (arcana) and Knowledge (history) checks. One of these skills (your choice) is always a class skill for you.||
Fangwood Diplomat|Regional|||||||||You gain a +1 trait bonus on Diplomacy checks, and Diplomacy is always a class skill for you.||
Fashionable|Faction|||||||||As long as you are wearing clothing and jewelry worth at least 80 gp, you gain a +1 trait bonus on Bluff, Diplomacy, and Sense Motive checks. One of these skills (your choice) becomes a class skill for you.||
Fast-Talker|Basic|Social||||||||You gain a +1 trait bonus on Bluff checks, and Bluff is always a class skill for you.||
Fatal Trapper|Religion|||||||Accidental death, graveyards, tragedy||You gain a +1 trait bonus on Craft (traps) checks and a +1 trait bonus on Disable Device checks made to disable traps.||
Fate's Favored|Basic|Faith||||||||Whenever you gain a luck bonus, that bonus increases by 1.||
Favored Child|Campaign|Rise of the Runelords||||||||You gain a +1 trait bonus on Knowledge (local) checks, and Knowledge (local) is always a class skill for you. In addition, you can choose any one law-abiding citizen from below as an ally; depending on the person you pick, you’ll get different benefits:|^Local noble and Innkeeper: You gain an additional 10% over the amount of gp you normally would get from selling off treasure.^Town Sheriff: You can call in a favor from him once per game session. A favor can either get you out of a legal jam, hook you up with a town guard for help, or give you a one-time +10 bonus on a Bluff, Diplomacy, or Intimidate check made against any local person.|
Fearless Defiance|Basic|Faith||||||||You gain a +1 trait bonus on all saving throws against fear effects. In addition, if you successfully save against such an effect, you receive a +1 trait bonus on attack rolls against your favored enemies for 1 round.||
Feline Instinct|Race||Weretiger or Weretiger-kin|||||||In any combat in which you act during the surprise round, you gain a +3 trait bonus on your initiative check.||
Fencer|Basic|Combat||||||||You gain a +1 trait bonus on attacks of opportunity made with daggers, swords, and similar bladed weapons.||
Fey Protection|Basic|Magic||||||||You gain a +1 trait bonus to AC against attacks of opportunities made by fey and a +1 trait bonus on saving throws against the effects of fey creatures.||
Fiend Blood|Race|Bloodline|Any|||||||Choose one of the following skills: Bluff, Intimidate, or Knowledge (planes). You gain a +1 trait bonus on checks with that skill, and it is always a class skill for you.||
Fiendish Confidence|Religion|||||||Asmodeus||You gain a +1 trait bonus on Intimidate checks, and Intimidate becomes a class skill for you.||
Fiendish Presence|Faction|||||||||You gain a +1 trait bonus on Diplomacy and Sense Motive checks. One of these skills (your choice) is always a class skill for you.||
Fiery Dominance (Plane of Fire)|Regional|||||||||You gain a +1 trait bonus on Intimidate checks against humanoids of a subtype different from your own (or all non-human humanoids, if you are not a humanoid), and the DC for such creatures to demoralize you with Intimidate is 2 higher than usual.||Pathfinder Player Companion: Blood of the Elements
Fiery Glare|Race||Ifrit|||||||You can always take 10 on Intimidate checks, even in combat.||
Fight with the Flock|Race||Werebat or Werebat-kin|||||||As long as you are within 10 feet of at least two allies, you gain a +1 trait bonus on Intimidate checks and attack rolls to make attack of opportunity.||
Final Embrace|Race||Dhampir|||||||You gain a +2 trait bonus on grapple combat maneuver checks to pin an opponent.||
Finding Haleen|Campaign|Legacy of Fire||||||||The class you chose at 1st level is always a favored class to you. Every time you take a level in the class, you gain +1 hit point and 1 additional skill point over and above what you would normally gain.||
Finish the Fight|Race||Half-Orc||||Raised by orcs|||You gain a +1 trait bonus on attack rolls against opponents you already injured in the past 24 hours.||
Fire-Tongued|Race||Kobold|Red-Scaled||||||In addition to speaking Draconic, you begin play with the ability to speak Ignan.||
Firebug|Basic|Combat|Kobold|Red-Scaled||||||You gain a +1 trait bonus on attack rolls made with thrown splash weapons and alchemist bombs.||
Firebug|Race||Kobold|Red-scaled||||||You are able to cast spark three times per day as a spell-like ability. The caster level is equal to your character level. This spell-like ability's save DC is Intelligence-based.||
Fires of Hell|Faction|||||||||Once per day, as a swift action, you can imbue a single weapon you hold with a nimbus of fire that deals an extra 1 point of fire damage for as many rounds as your Charisma bonus. This fire gives off light equivalent to a torch. This is a supernatural ability.||
First Memories|Basic|Faith|Gnome|||||||You do not gain the normal spell-like abilities for the gnome magic racial trait. Instead, if you have a Wisdom of 11 of higher, you gain the following spell-like abilities: 1/day—detect poison, know direction, stabilize, and speak with animals. The caster level for these effects is equal to your character level. The DC for these spells is equal to 10 + the spell’s level + your Wisdom modifier.||
Flair for Destruction|Race||Tiefling|||||||You gain a +1 trait bonus on weapon damage rolls made against objects and constructs.||
Flame of the Dawnflower|Religion|||||||Sun, redemption, honesty, healing||Whenever you score a critical hit with a scimitar, you deal an additional two points of fire damage to your target. If you ever abandon the worship of the associated deity, you immediately lose access to this trait’s benefits.||
Flame-Touched|Basic|Magic||||||||You gain DR 1/— against creatures and attacks with the fire type.||
Flames of Hell|Religion|||||||Archdevils||Add 1 to the DC of saving throws made to resist the effects of your channel energy ability.||
Flotsam|Regional||||||||Coastline|You gain a +2 bonus on Reflex saving throws against spells and effects with the fire descriptor.||
Flounderer|Religion||Goblin|||||Drowning, flotsam, scavenging||You gain a +1 trait bonus on Swim checks, and can hold your breath for a number of rounds equal to three times your Constitution score before you risk drowning.||
Focused Burn|Basic|Magic||||||||Any bombs you have that deal fire damage deal 1 additional point of fire damage on a direct hit per 2d6 of fire damage normally dealt (minimum 1 point). This additional damage does not apply to the bomb's splash damage.||
Focused Disciple|Basic|Faith||||||||You gain a +2 trait bonus on saving throws against charm and compulsion effects.||
Focused Mind|Basic|Magic||||||||You gain a +2 trait bonus on concentration checks.||
Following Breeze|Race||Sylph|||||||As long as you get a running start, you gain a +2 trait bonus on Acrobatics checks made to jump. Your speed increases by 5 feet when you use the run action.||
Fools for Friends|Campaign|Second Darkness||||||||Whenever you perform the Aid Another action, or whenever an ally aids you in this manner, a successful check grants an additional +1 trait bonus to the check for which aid was being rendered. Additionally, as long as one of your friends is within 30 feet, you gain a +1 trait bonus on all saving throws against charm and compulsion effects.||
Forbidden Knowledge|Regional|||||||||Anytime you would roll a Knowledge (planes) check, you may roll a Knowledge (history) or Knowledge (religion) check instead.||Pathfinder Player Companion: Undead Slayer's Handbook
Force For Good|Faction|||||||||Your good-aligned spells function at +1 caster level. This trait makes your aura more powerful (one step higher), as outlined in the detect evil spell.||
Foreign Opportunist|Campaign|Mummy's Mask||||||||You gain a +2 trait bonus on Appraise checks, and Appraise is always a class skill for you. In addition, your contacts in the antiquities markets allow you to sell relics for 60% of their listed price, rather than the normal 50% value. What is considered an ancient relic is left to the GM's discretion.||
Forlorn|Race||Elf|||||||You gain a +1 trait bonus on Fortitude saving throws.||
Former Assassin|Campaign|Shattered Star||||||||You gain a +2 trait bonus on Bluff checks to pass hidden messages. Also, anytime you deliver a coup de grace, you deal an additional 1d6 points of damage.||
Fortified|Faction|||||||||You gain the ability to negate a critical hit or sneak attack scored against you once per day. This functions as the fortification armor quality with a 20% chance of success.||
Fortified Drinker|Religion|||||||Freedom, ale, wine, bravery||Whenever you imbibe any alcoholic beverage, you gain a +2 trait bonus on saving throws against mind-affecting effects for 1 hour.||
Fortunate|Basic|Magic||||||||Once per day when you use a spell or magic item with a randomized effect (such as confusion, mirror image, prismatic spray, or a bag of tricks), before you roll to determine the result, you may choose to roll twice and pick either result.||
Foster Child|Campaign|Jade Regent||||||||You have an adoptive mother. Choose any Knowledge skill—you gain a +2 bonus on skill checks with that Knowledge skill, and it becomes a class skill for you. In addition, you gain a +1 trait bonus on all attack rolls against foes that threaten your adoptive mother.||
